"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"sdhA",0.210734385724214,5.75925627342281,0.453969493120222,0.510886462149343,0.820409713634754,"SL1344_0716","sdhA"
"ninG",-0.19368588384353,1.97548052442384,0.450229086764627,0.512498763751126,0.820409713634754,"SL1344_0959","ninG"
"yccV",0.196078966305011,6.36520068487882,0.446539294046905,0.514206552624358,0.820409713634754,"SL1344_1019","yccV"
"SL1344_1066",-0.249967122178676,2.85972664784661,0.451323464971913,0.511994212797969,0.820409713634754,"SL1344_1066","SL1344_1066"
"ydiE",-0.306234066403523,5.13107958593941,0.457630298120608,0.50994789103507,0.820409713634754,"SL1344_1280","ydiE"
"SL1344_1422",0.194540804263599,2.46506052554139,0.456675543559104,0.509539557329342,0.820409713634754,"SL1344_1422","SL1344_1422"
"rspB",-0.219323055215516,1.88842542282607,0.44671401158361,0.514125453596245,0.820409713634754,"SL1344_1436","rspB"
"SL1344_1790",-0.232712048301857,2.99797158892579,0.447468393880645,0.513775556423243,0.820409713634754,"SL1344_1790","SL1344_1790"
"cobS",-0.127102491789741,4.35482940062662,0.453901301477212,0.510809268802023,0.820409713634754,"SL1344_1993","cobS"
"elaC",-0.0961204041587431,5.19914646491553,0.456848503351307,0.509460585513761,0.820409713634754,"SL1344_2282","elaC"
"SL1344_2568",-0.181071784575786,1.94735771587491,0.447945724136653,0.513554384283786,0.820409713634754,"SL1344_2568","SL1344_2568"
"SL1344_2586",0.171964507947407,2.80161811173326,0.451880321060471,0.511737824947773,0.820409713634754,"SL1344_2586","SL1344_2586"
"SL1344_2700",-0.170707769212909,3.56722535832133,0.447927897631574,0.513562641136732,0.820409713634754,"SL1344_2700","SL1344_2700"
"galR",0.158257530377219,6.43959983625198,0.457840474813122,0.509008085551741,0.820409713634754,"SL1344_2989","galR"
"rpoD",-0.0788247036716541,11.0934253248277,0.451777646592323,0.511785080915578,0.820409713634754,"SL1344_3185","rpoD"
"ygjP",-0.116552338122991,4.27010068536559,0.446804113231303,0.514083639980311,0.820409713634754,"SL1344_3194","ygjP"
"gatB",0.195409591582914,1.31052811147426,0.520478644658132,0.512235918001504,0.820409713634754,"SL1344_3232","gatB"
"accC",0.185639220080613,10.6261761605879,0.455902080765568,0.50998326195426,0.820409713634754,"SL1344_3353","accC"
"SL1344_3617",-0.136320219326919,5.48843555099007,0.454172587047181,0.510684855790456,0.820409713634754,"SL1344_3617","SL1344_3617"
"ysaA",0.246479671246847,4.42370414179003,0.449303016999319,0.51319222431082,0.820409713634754,"SL1344_3631","ysaA"
"tatD",0.0789645296217938,5.76473387336732,0.450260991562704,0.512484041676027,0.820409713634754,"SL1344_3930","tatD"
"fdoI",-0.132482119315571,7.38201628673036,0.447701767219753,0.513667400753608,0.820409713634754,"SL1344_3982","fdoI"
"rpoB",-0.107172631354045,12.6858554733189,0.449538113150328,0.512817792795111,0.820409713634754,"SL1344_4092","rpoB"
"SL1344_4153",-0.37512599993217,0.669596375813996,0.447013537472606,0.513986475960561,0.820409713634754,"SL1344_4153","SL1344_4153"
"fxsA",0.148102715408144,7.03910864591787,0.44662112466552,0.514168566235099,0.820409713634754,"SL1344_4264","fxsA"
"yjeS",-0.108037639437959,5.61989061742818,0.455221541066025,0.510204313364666,0.820409713634754,"SL1344_4289","yjeS"
"fbp",-0.0943466363794085,7.50036911356673,0.457944294373685,0.508960768758464,0.820409713634754,"SL1344_4348","fbp"
"SL1344_4432",-0.375553951000149,1.07325742649584,0.453712753234921,0.510895770231346,0.820409713634754,"SL1344_4432","SL1344_4432"
"SL1344_P1_0031",-0.261811280642363,0.965126552361257,0.454189000323064,0.51067733032723,0.820409713634754,"SL1344_P1_0031","SL1344_P1_0031"
"SL1344_P2_0060",-0.105203697424454,4.99781405824464,0.457204651170749,0.509298041098423,0.820409713634754,"SL1344_P2_0060","SL1344_P2_0060"
"yidR",0.206314787532847,5.27926113644581,0.44582071602182,0.514564508402454,0.82070440279543,"SL1344_3778","yidR"
"ybdN",-0.112392078254677,4.60891592195009,0.443803471864006,0.515479480649606,0.821272107447602,"SL1344_0593","ybdN"
"ybhE",0.128599280788216,7.10337315467904,0.441289627570447,0.516654186234717,0.821272107447602,"SL1344_0762","ybhE"
"SL1344_1244",0.11259256688224,4.46488125441113,0.441724272841524,0.516450730611721,0.821272107447602,"SL1344_1244","SL1344_1244"
"prc",-0.0668086883541401,9.19883177780923,0.442795069923098,0.515950116933077,0.821272107447602,"SL1344_1774","prc"
"SL1344_1803",-0.388226221711211,2.53337997183382,0.442900042773087,0.515912758744193,0.821272107447602,"SL1344_1803","SL1344_1803"
"SL1344_3049",0.270231819327271,1.42072267463134,0.441341993366337,0.516629666290644,0.821272107447602,"SL1344_3049","SL1344_3049"
"mtr",0.113048019208113,4.50004737220534,0.441732534255845,0.516446864891725,0.821272107447602,"SL1344_3252","mtr"
"yiaN",0.196028961947483,2.41440438883882,0.442699231202075,0.515994886976177,0.821272107447602,"SL1344_3637","yiaN"
"thiG",0.269878889101464,1.982547067795,0.441999726092333,0.516321867631758,0.821272107447602,"SL1344_4099","thiG"
"SL1344_4147",0.165940701987249,2.53110790179753,0.442322019121189,0.516171166298628,0.821272107447602,"SL1344_4147","SL1344_4147"
"yebE",0.0767433195089186,5.8807112703431,0.439721832535786,0.517389279715644,0.82152691240996,"SL1344_1814","yebE"
"glpR",0.109719949940651,7.45922351222625,0.440259552762107,0.517136943603489,0.82152691240996,"SL1344_3489","glpR"
"SL1344_P2_0087",-0.360835758931271,1.15384743987359,0.439468599536864,0.517508192237982,0.82152691240996,"SL1344_P2_0087","SL1344_P2_0087"
"SraG",-0.126985918213107,6.13444120753061,0.440059384671376,0.517230850305872,0.82152691240996,"SraG","SraG"
"SL1344_0055",0.181527592007415,2.39110036372393,0.438395403409325,0.51801269509961,0.82153708496626,"SL1344_0055","SL1344_0055"
"entE",-0.34835287003469,9.48132356555217,0.440063589471965,0.518054027817527,0.82153708496626,"SL1344_0584","entE"
"SL1344_0748",0.175157140656191,3.74207618954115,0.437639147738213,0.518368745954656,0.82153708496626,"SL1344_0748","SL1344_0748"
"yeaR",-0.13685400237862,3.5099401087903,0.438719007214928,0.517860476431354,0.82153708496626,"SL1344_1206","yeaR"
"SL1344_1259",-0.0976343945497023,4.35798020237868,0.437182090718043,0.518584148713267,0.82153708496626,"SL1344_1259","SL1344_1259"
"fucK",0.199148636622351,2.5397578874608,0.43624530590039,0.519026150405018,0.82153708496626,"SL1344_2957","fucK"
"SL1344_3251",-0.277583796014066,1.34017428836494,0.436757888339586,0.518784214130023,0.82153708496626,"SL1344_3251","SL1344_3251"
"nfi",0.170507758227799,5.68208510774448,0.436485181394361,0.51891290471871,0.82153708496626,"SL1344_4107","nfi"
"SL1344_4149",-0.143223472412187,3.44058266485682,0.436140870445538,0.519075468715224,0.82153708496626,"SL1344_4149","SL1344_4149"
"fixA",-0.428496899203766,2.74910122251502,0.434861292557473,0.520499936028398,0.82186939898884,"SL1344_0076","fixA"
"glnS",-0.0812200504124346,9.54861659787963,0.434194114523071,0.519996372321568,0.82186939898884,"SL1344_0668","glnS"
"SL1344_1414",0.13420620788706,4.21696093069641,0.433399502304865,0.520373120589547,0.82186939898884,"SL1344_1414","SL1344_1414"
"SL1344_1772",0.0963301624295165,4.16871960200613,0.434611140377219,0.519798848487666,0.82186939898884,"SL1344_1772","SL1344_1772"
"SL1344_1949",-0.148092570430204,4.48860086351244,0.43445126743671,0.519874555875434,0.82186939898884,"SL1344_1949","SL1344_1949"
