"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"marA",2.08390505347945,6.69863922509044,87.8658403017599,1.23413362748477e-07,4.5318534832522e-06,"SL1344_1449","marA"
"yicL",1.72917892022752,6.63790790347361,87.1547079716639,1.30030029843564e-07,4.73809424129971e-06,"SL1344_3730","yicL"
"SL1344_2549",2.94911472046502,2.41346010701548,86.5055151272827,1.36423628663102e-07,4.93312006852757e-06,"SL1344_2549","SL1344_2549"
"smvA",2.21531792455431,7.05756532579657,85.8589321174302,1.43148347996096e-07,5.13707367013264e-06,"SL1344_1505","smvA"
"ybdJ",1.65627545769607,4.22529251897496,85.4338147500289,1.47774548439676e-07,5.14711791146135e-06,"SL1344_0570","ybdJ"
"ais",1.43248795281847,5.40112477803501,85.6268447540019,1.45653260289506e-07,5.14711791146135e-06,"SL1344_2265","ais"
"SL1344_3350",1.63599344413499,5.66957571832343,85.5198113062941,1.46825196722138e-07,5.14711791146135e-06,"SL1344_3350","SL1344_3350"
"phnA",-1.41075365543605,5.32797383589417,85.5249670445879,1.46768500603117e-07,5.14711791146135e-06,"SL1344_4226","phnA"
"yraP",1.93629189936204,7.78626933701156,85.1603458541741,1.50840086108224e-07,5.21554370726026e-06,"SL1344_3240","yraP"
"pagC",1.99976822343042,7.16889448951257,84.5651148786356,1.57765230015964e-07,5.33973307641548e-06,"SL1344_1184","pagC"
"yehU",1.62603483989832,6.51417788168109,84.7466695136041,1.55615438767639e-07,5.33973307641548e-06,"SL1344_2137","yehU"
"siiA",-2.59371999796926,4.35847588242569,84.5610692093222,1.57813517141264e-07,5.33973307641548e-06,"SL1344_4193","siiA"
"siiC",-2.22894939017292,4.91726907251138,83.182150788585,1.75293009879169e-07,5.88909920423845e-06,"SL1344_4195","siiC"
"yihZ",1.57728898163328,6.36924884274802,82.881258565526,1.79393051723888e-07,5.98440060574689e-06,"SL1344_3974","yihZ"
"hyaB2",1.53516627159121,3.93338668290784,82.5844230080302,1.83544743683891e-07,6.08008007573841e-06,"SL1344_1467","hyaB2"
"SL1344_1568",-1.44426102420138,7.99219320643466,82.0127984761782,1.91850613155602e-07,6.31108579526448e-06,"SL1344_1568","SL1344_1568"
"ompR",1.3495494384877,7.91517782570903,81.1658112666529,2.04953676453045e-07,6.69562458867639e-06,"SL1344_3469","ompR"
"lpxP",2.33300877618222,3.76846340165461,80.6217790077345,2.13904899697822e-07,6.94018842375742e-06,"SL1344_2369","lpxP"
"yhjW",1.6371566511409,5.93263118401382,80.3791266651666,2.18039790146513e-07,7.0262209926805e-06,"SL1344_3600","yhjW"
"nfnB",1.56841569283838,8.48574394874633,79.6809548147859,2.30451906967469e-07,7.27767122203267e-06,"SL1344_0566","nfnB"
"fpr",1.20712302024303,6.67882977460664,79.743583898443,2.29306348544126e-07,7.27767122203267e-06,"SL1344_4033","fpr"
"basS",1.91076555042319,7.87962588984657,79.7114209370107,2.29893837335819e-07,7.27767122203267e-06,"SL1344_4228","basS"
"pipB2",2.70092777564132,7.18047609562098,78.7044431933147,2.49180420291318e-07,7.81700431072831e-06,"SL1344_2763","pipB2"
"yhcN",1.11127883073575,7.29532012762246,77.8845461022304,2.66246091943724e-07,8.29741932590409e-06,"SL1344_3333","yhcN"
"cueO",1.30744092966324,6.28780572449982,77.4809657259899,2.75130770184746e-07,8.51826443375911e-06,"SL1344_0169","cueO"
"ppiA",0.960116636384609,7.47644716204046,76.9885467613127,2.86430249781075e-07,8.8105200857984e-06,"SL1344_3439","ppiA"
"ybiH",1.42042540155905,6.12838834360896,76.7946508684864,2.91023316130312e-07,8.89404805489863e-06,"SL1344_0795","ybiH"
"SL1344_P1_0065",1.53521565647974,4.49431860132386,76.6515302994204,2.94467224037453e-07,8.94161051452188e-06,"SL1344_P1_0065","SL1344_P1_0065"
"SL1344_0869",0.998424612565265,6.12862446048206,76.5479301115399,2.9698900815551e-07,8.9607447874691e-06,"SL1344_0869","SL1344_0869"
"hpt",-1.06074853331432,8.10608316044451,75.9546783868753,3.11910258658934e-07,9.29257166834824e-06,"SL1344_0171","hpt"
"SL1344_1786",1.32825067631119,5.27375630232708,76.0270907641616,3.10044157175452e-07,9.29257166834824e-06,"SL1344_1786","SL1344_1786"
"yaaJ",1.00648831437041,5.96529640415643,75.8548492063217,3.14503834412646e-07,9.3112791475794e-06,"SL1344_0006","yaaJ"
"orgB",2.14219978613594,9.1764919476841,75.6998289975846,3.18579926003379e-07,9.37337335079507e-06,"SL1344_2849","orgB"
"yjbA",2.85234868673963,5.21187743150316,74.6593008039893,3.47543412905413e-07,1.01624268329194e-05,"SL1344_4162","yjbA"
"cdaR",2.06086135332225,4.43295638015586,74.0939897629195,3.64525094649716e-07,1.05664245178766e-05,"SL1344_0211","cdaR"
"ramR",1.74250972904435,5.95529036145575,74.0520852429475,3.65820903722135e-07,1.05664245178766e-05,"SL1344_0568","ramR"
"marC",1.0082819874779,5.8795034269055,73.3003984065753,3.89976445701463e-07,1.11958692320474e-05,"SL1344_1451","marC"
"SL1344_1188",2.00152832742515,5.31800608879429,73.0312623384842,3.9906123813704e-07,1.13194795512285e-05,"SL1344_1188","SL1344_1188"
"yhhW",1.88625813901103,4.83976593791927,73.0501906928367,3.98414512009165e-07,1.13194795512285e-05,"SL1344_3510","yhhW"
"ybhR",1.12292155997057,5.35175547452043,72.4163222926661,4.20734232137123e-07,1.18632027240092e-05,"SL1344_0791","ybhR"
"yhaK",2.05328897141715,4.87010330920487,71.8978701634055,4.40048033699881e-07,1.23343641161913e-05,"SL1344_3208","yhaK"
"frwB",1.84609377443193,4.52739922390567,71.6374103584479,4.50129206006408e-07,1.24693687067389e-05,"SL1344_4062","frwB"
"basR",2.02095741026935,7.8142367116507,71.6516265394259,4.49572251726453e-07,1.24693687067389e-05,"SL1344_4229","basR"
"yfeY",2.34299143022461,6.56308584461889,70.930218429166,4.78849238662459e-07,1.31878421136283e-05,"SL1344_2410","yfeY"
"yaeT",0.923434652861444,11.1026294916656,70.7464326067969,4.8664961125643e-07,1.32486161409294e-05,"SL1344_0225","yaeT"
"pliC",1.5355183916616,6.37252552691795,70.7718106024852,4.85563968752012e-07,1.32486161409294e-05,"SL1344_1185","pliC"
"rstA",0.945823980116558,8.49771424030953,70.297014444483,5.06338881660049e-07,1.36397737237524e-05,"SL1344_1405","rstA"
"SL1344_1770",1.6103056827633,3.71525666861931,70.2872524583846,5.0677647780883e-07,1.36397737237524e-05,"SL1344_1770","SL1344_1770"
"ygdR",1.45001387474851,4.03897834473313,69.5213049880142,5.42487817439519e-07,1.45184451480848e-05,"SL1344_2985","ygdR"
"sbmA",1.12862381671383,7.23120467890699,68.8757543779483,5.74813767514756e-07,1.52971506557157e-05,"SL1344_0371","sbmA"
"marB",1.82605232278592,5.33238984239027,68.2083955142898,6.10549702516552e-07,1.61104383733124e-05,"SL1344_1448","marB"
"yecD",1.09394517150104,5.16973512601844,68.1180737736396,6.15577231490298e-07,1.61104383733124e-05,"SL1344_1837","yecD"
"prgH",-1.06847270998038,6.37440996552976,68.164612245153,6.12980944831712e-07,1.61104383733124e-05,"SL1344_2854","prgH"
"SL1344_3704",-1.75307852894418,5.75996078475392,68.0092958768075,6.21694536820205e-07,1.61811374775676e-05,"SL1344_3704","SL1344_3704"
"purR",-1.04987062123322,7.54659494750929,67.2321174190135,6.67462914838856e-07,1.72174632672806e-05,"SL1344_1362","purR"
"rcsA",1.45322804491821,4.1316349759555,67.2106471552109,6.68780502676723e-07,1.72174632672806e-05,"SL1344_1911","rcsA"
"asr",1.61267954280501,4.23619750645704,67.148333148784,6.72621333187485e-07,1.72227419205898e-05,"SL1344_1415","asr"
"flhD",-1.11181709020922,6.5846951871118,66.9001837923634,6.88166719523324e-07,1.75260524214085e-05,"SL1344_1860","flhD"
